srclang,trglang,srcIndex,documentId,segmentId,judgeId,system1Number,system1Id,system2Number,system2Id,system1rank,system2rank
NCM,NCM,57,-1,57,ADJMZSRMFT3RG,-1,5,-1,36,2,1
NCM,NCM,58,-1,58,A39XF45WLMIGX2,-1,5,-1,36,2,1
NCM,NCM,58,-1,58,A39XF45WLMIGX2,-1,5,-1,36,1,2
NCM,NCM,58,-1,58,A1WAWEY2810TFN,-1,5,-1,36,1,2
NCM,NCM,59,-1,59,A35CL66BEUSJ5Z,-1,5,-1,36,2,1
NCM,NCM,59,-1,59,AJ1VZT72SEBR1,-1,5,-1,36,1,2
NCM,NCM,59,-1,59,A2EC3L6VH2WTKF,-1,5,-1,36,1,2
NCM,NCM,60,-1,60,A3F1EX5JHQN5D4,-1,5,-1,36,1,2
NCM,NCM,60,-1,60,A35CL66BEUSJ5Z,-1,5,-1,36,1,1
NCM,NCM,60,-1,60,AJ1VZT72SEBR1,-1,5,-1,36,2,1
NCM,NCM,61,-1,61,A24P3PZ3IY336C,-1,5,-1,36,2,1
NCM,NCM,61,-1,61,AJ1VZT72SEBR1,-1,5,-1,36,1,2
NCM,NCM,61,-1,61,A39XF45WLMIGX2,-1,5,-1,36,2,1
NCM,NCM,62,-1,62,A2EC3L6VH2WTKF,-1,5,-1,36,1,2
NCM,NCM,62,-1,62,A39XF45WLMIGX2,-1,5,-1,36,1,2
NCM,NCM,62,-1,62,A24P3PZ3IY336C,-1,5,-1,36,2,1
NCM,NCM,63,-1,63,A1OSNZPSG3HP9I,-1,5,-1,36,1,2
NCM,NCM,63,-1,63,A35CL66BEUSJ5Z,-1,5,-1,36,1,2
NCM,NCM,63,-1,63,ADJMZSRMFT3RG,-1,5,-1,36,2,1
NCM,NCM,64,-1,64,A39XF45WLMIGX2,-1,5,-1,36,2,1
NCM,NCM,64,-1,64,ADJMZSRMFT3RG,-1,5,-1,36,2,1
NCM,NCM,64,-1,64,A39XF45WLMIGX2,-1,5,-1,36,1,2
NCM,NCM,65,-1,65,A3EHBCT63AB7JP,-1,5,-1,36,1,2
NCM,NCM,65,-1,65,A1DXYZ9EW2R6DT,-1,5,-1,36,1,1
NCM,NCM,65,-1,65,A39XF45WLMIGX2,-1,5,-1,36,2,1
NCM,NCM,66,-1,66,A24P3PZ3IY336C,-1,5,-1,36,2,1
NCM,NCM,66,-1,66,A1SCNBV5UPXZO1,-1,5,-1,36,1,2
NCM,NCM,66,-1,66,A39XF45WLMIGX2,-1,5,-1,36,1,2
NCM,NCM,67,-1,67,A3F1EX5JHQN5D4,-1,5,-1,36,2,1
NCM,NCM,67,-1,67,A1DXYZ9EW2R6DT,-1,5,-1,36,1,1
